Song,Year,Artist,Winner,trackID
"""Formation""",2017,Beyoncé,0,6g0Orsxv6glTJCt4cHsRsQ
"""From a Distance""",1991,Bette Midler,0,48eiLW57CqSmCYNZRM2J8M
"""Gangsta's Paradise""",1996,Coolio,0,7lQWRAjyhTpCWFC0jmclT4
"""Georgia on My Mind""",1961,Ray Charles,0,4hd8wgCh7ZQWRyXNLnwjTD
"""Get Lucky""",2014,Daft Punk featuring Pharrell Williams & Nile Rodgers,1,69kOkLUCkxIZYexIgSG8rq
"""Girls Just Want to Have Fun""",1985,Cyndi Lauper,0,4y1LsJpmMti1PfRQV9AWWe
"""Give Me One Reason""",1997,Tracy Chapman,0,4vDBJeeQCbhP9FaPPMsYkY
"""Giving You the Best That I Got""",1989,Anita Baker,0,4FKHWhLF2dyjcoSnGlktw4
"""God's Plan""",2019,Drake,0,6DCZcSspjsKoFjzjrWoCdn
"""Gold Digger""",2006,Kanye West,0,1PS1QMdUqOal0ai3Gt7sDQ
"""Graceland""",1988,Paul Simon,1,51KKQAgYFoJHgVIuJWHdHb
"""Greatest Love of All""",1987,Whitney Houston,0,6yJxCltgtmGxIgKOS6ndnu
"""Grenade""",2012,Bruno Mars,0,2tJulUYLDKOg9XrtVkMgcJ
"""Halo""",2010,Beyoncé,0,4JehYebiI9JE8sR8MisGVb
"""Happy Days Are Here Again""",1964,Barbra Streisand,0,5kb8hqeLEXspWJZ0LrJPqE
"""Hard Habit to Break""",1985,Chicago,0,3Tows9RnoAq9CmMJaII2cO
"""Hard Place""",2020,H.E.R.,0,4IablJ6SqVNGY4vrseyKxu
"""Harper Valley PTA""",1969,Jeannie C. Riley,0,2sZIclzhHlH8tzf7wry9hK
"""Harvest Moon""",1994,Neil Young,0,5l9c6bJmzvftumhz4TMPgk
"""He Thinks He'll Keep Her""",1995,Mary Chapin Carpenter,0,5ANnHcFKjGAC98A7Qkaepd
"""Heaven""",2005,Los Lonely Boys,0,1XcUn5PE9d42zWamWgRG2x
"""Hello, Dolly!""",1965,Louis Armstrong,0,63kd4m3VFxcJjPVVtbVNAu
